"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ABW","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2010","4.981200397014618","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Aruba","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ABW","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2015","14.870180189609528","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Aruba","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ABW","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2020","14.870180189609528","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Aruba","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ABW","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2025","14.870180189609528","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Aruba","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2010","3.938160091638565","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Afghanistan","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2015","8.39764028787613","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Afghanistan","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2020","9.83664020895958","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Afghanistan","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AFG","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2025","11.134420335292816","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Afghanistan","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AGO","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2010","5.98667711019516","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Angola","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AGO","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2015","5.98667711019516","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Angola","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AGO","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2020","4.8073910176754","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Angola","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AGO","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2025","4.8073910176754","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Angola","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2010","1.5962157398462296","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Albania","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2015","18.366602063179016","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Albania","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2020","18.366602063179016","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Albania","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ALB","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2025","30.9983491897583","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Albania","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AND","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2010","0.755119975656271","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Andorra","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","AND","HD_HCIP_TERT","_T","_Z","_Z","PT","_Z","_Z","_Z","2015","8.469949662685394","W_AVG","RATIO","2","WB_HCIP","602","0","A","PU","Annual","Andorra","Tertiary Completion Rate","Total","Not applicable","Not applicable","Percentage","Not Applicable","Not Applicable","Not Applicable","Weighted Average","Ratio","Two","Human Capital Index Plus (HCI+)","CCYY","Units","Normal value","Public"
