country_code,country_name,poverty_rate,year
AFG,阿富汗,93.27,2019
ALB,阿尔巴尼亚,10.24,2019
ARE,阿联酋,25.92,2019
ARG,阿根廷,59.15,2019
ARM,亚美尼亚,27.24,2019
AUS,澳大利亚,9.06,2019
AUT,奥地利,14.97,2019
AZE,阿塞拜疆,37.55,2019
BDI,布隆迪,95.82,2019
BEL,比利时,8.53,2019
BEN,贝宁,55.78,2019
BFA,布基纳法索,73.86,2019
BGD,孟加拉国,51.22,2019
BGR,保加利亚,18.19,2019
BHR,巴林,30.17,2019
BLZ,伯利兹,76.41,2019
BRA,巴西,46.90,2019
BWA,博茨瓦纳,50.84,2019
CAN,加拿大,4.30,2019
CHE,瑞士,10.93,2019
CHL,智利,27.19,2019
CHN,中国,18.20,2019
CIV,科特迪瓦,79.89,2019
CMR,喀麦隆,71.93,2019
COD,刚果民主共和国,96.60,2019
COG,刚果共和国,70.01,2019
COL,哥伦比亚,51.36,2019
COM,科摩罗,86.02,2019
CRI,哥斯达黎加,34.02,2019
CYP,塞浦路斯,10.25,2019
CZE,捷克,14.21,2019
DEU,德国,15.44,2019
DNK,丹麦,5.14,2019
DOM,多米尼加共和国,77.72,2019
DZA,阿尔及利亚,67.90,2019
ECU,厄瓜多尔,65.94,2019
EGY,埃及,56.12,2019
ESP,西班牙,7.30,2019
ETH,埃塞俄比亚,90.39,2019
FIN,芬兰,4.78,2019
FRA,法国,6.64,2019
GAB,加蓬,30.68,2019
GBR,英国,3.39,2019
GEO,格鲁吉亚,13.53,2019
GHA,加纳,5.96,2019
GIN,几内亚,82.67,2019
GRC,希腊,7.69,2019
GTM,危地马拉,78.52,2019
HKG,香港,5.39,2019
HND,洪都拉斯,79.29,2019
HRV,克罗地亚,3.89,2019
HUN,匈牙利,9.16,2019
IDN,印度尼西亚,52.82,2019
IND,印度,56.07,2019
IRL,爱尔兰,2.33,2019
IRN,伊朗,41.54,2019
IRQ,伊拉克,4.03,2019
ISL,冰岛,9.32,2019
ISR,以色列,14.40,2019
ITA,意大利,5.50,2019
JAM,牙买加,7.06,2019
JOR,约旦,62.25,2019
JPN,日本,3.60,2019
KAZ,哈萨克斯坦,10.41,2019
KEN,肯尼亚,79.29,2019
KGZ,吉尔吉斯斯坦,64.49,2019
KHM,柬埔寨,90.00,2019
KOR,韩国,3.23,2019
KWT,科威特,51.08,2019
LAO,老挝,97.72,2019
LKA,斯里兰卡,14.81,2019
LSO,莱索托,96.90,2019
LTU,立陶宛,3.28,2019
LUX,卢森堡,2.95,2019
LVA,拉脱维亚,8.44,2019
MAC,澳门,7.19,2019
MAR,摩洛哥,59.76,2019
MDA,摩尔多瓦,11.01,2019
MDG,马达加斯加,95.24,2019
MEX,墨西哥,47.63,2019
MKD,北马其顿,33.03,2019
MLI,马里,90.44,2019
MLT,马耳他,10.16,2019
MMR,缅甸,89.47,2019
MNE,黑山,15.81,2019
MNG,蒙古,39.46,2019
MRT,毛里塔尼亚,94.77,2019
MUS,毛里求斯,40.46,2019
MYS,马来西亚,42.03,2019
NAM,纳米比亚,6.11,2019
NER,尼日尔,90.44,2019
NGA,尼日利亚,5.04,2019
NIC,尼加拉瓜,78.90,2019
NLD,荷兰,4.49,2019
NOR,挪威,4.29,2019
NPL,尼泊尔,7.23,2019
NZL,新西兰,10.86,2019
OMN,阿曼,40.61,2019
PAK,巴基斯坦,79.54,2019
PAN,巴拿马,78.51,2019
PER,秘鲁,44.44,2019
PHL,菲律宾,90.91,2019
POL,波兰,5.55,2019
PRT,葡萄牙,7.98,2019
PRY,巴拉圭,77.74,2019
QAT,卡塔尔,21.06,2019
ROU,罗马尼亚,17.86,2019
RUS,俄罗斯,3.76,2019
SAU,沙特阿拉伯,32.41,2019
SEN,塞内加尔,68.57,2019
SGP,新加坡,3.37,2019
SLV,萨尔瓦多,69.07,2019
SRB,塞尔维亚,8.85,2019
SVK,斯洛伐克,22.12,2019
SVN,斯洛文尼亚,7.22,2019
SWE,瑞典,5.27,2019
TCD,乍得,94.41,2019
TGO,多哥,81.66,2019
THA,泰国,23.42,2019
TTO,特立尼达和多巴哥,20.64,2019
TUN,突尼斯,65.53,2019
TUR,土耳其,18.51,2019
UGA,乌干达,81.92,2019
UKR,乌克兰,27.88,2019
URY,乌拉圭,43.62,2019
USA,美国,9.69,2019
UZB,乌兹别克斯坦,32.37,2019
VNM,越南,18.12,2019
YEM,也门,94.66,2019
ZAF,南非,82.02,2019
ZMB,赞比亚,98.50,2019
